name,url,website,size,description
"('Genesis',)",https://jobs.dou.ua/companies/genesis-technology-partners/,http://gen.tech/,понад 1500 спеціалістів,Not available
"('GlobalLogic',)",https://jobs.dou.ua/companies/globallogic/,http://www.globallogic.com/ua,понад 1500 спеціалістів,Not available
"('Parimatch Tech',)",https://jobs.dou.ua/companies/parimatch-tech/,https://parimatch.tech,800...1500 спеціалістів,Not available
"('SoftServe',)",https://jobs.dou.ua/companies/softserve/,https://www.softserveinc.com/,понад 1500 спеціалістів,Not available
"('PMI',)",https://jobs.dou.ua/companies/pm-international/,https://pmi.team/,200...800 спеціалістів,Not available
"('ПриватБанк',)",https://jobs.dou.ua/companies/privatbank/,http://www.privatbank.ua/,понад 1500 спеціалістів,Not available
"('Plarium',)",https://jobs.dou.ua/companies/plarium/,https://company.plarium.com/,800...1500 спеціалістів,"
Plarium — міжнародна продуктова компанія-розробник мобільних та компʼютерних ігор. Понад 1800 спеціалістів створюють ігри віддалено і в офісах в Ізраїлі, Україні, Польщі та США.
Raid: Shadow Legends, Mech Arena — ці та 20 інших хітів об’єднують більш ніж 435 мільйонів гравців у всьому світі. За 13 років створення ігор ми досягли високої якості у розробленні та графіці. Здобутий досвід ми поєднуємо з інноваціями в аналітиці, маркетингу та взаємодії з комʼюніті.
Наші ігри доступні на iOS, Android і Plarium Play — оптимізованій платформі для PC та Mac. Facebook двічі визнавав Plarium кращим розробником хардкорних ігор, а наші проєкти регулярно отримують фічеринг від App Store та Google Play.
Компанія була заснована 2009 року. У жовтні 2017-го стала дочірньою компанією австралійської групи Aristocrat.
Поділяєте наше захоплення іграми та інноваціями? Надсилайте резюме й долучайтесь до команди в офісах у Львові, Києві, Варшаві або віддалено.

"
"('Innovecs',)",https://jobs.dou.ua/companies/innovecs/,https://jobs.innovecs.com/?utm_source=DOU&utm_medium=websiteaddress&utm_campaign=DOUcompanyprofile,800...1500 спеціалістів,Not available
"('Luxoft',)",https://jobs.dou.ua/companies/luxoft/,http://www.luxoft.com/,понад 1500 спеціалістів,Not available
"('Ciklum',)",https://jobs.dou.ua/companies/ciklum/,http://www.ciklum.com/,понад 1500 спеціалістів,Not available
"('Newxel',)",https://jobs.dou.ua/companies/newxel/,https://newxel.com/jobs/,200...800 спеціалістів,Not available
"('Sigma Software',)",https://jobs.dou.ua/companies/sigma-software/,https://career.sigma.software/?utm_source=dou_profile&utm_medium=sscw&utm_campaign=sscw_dou,понад 1500 спеціалістів,Not available
"('Belkins Inc.',)",https://jobs.dou.ua/companies/belkins/,https://belkins.io/,200...800 спеціалістів,Not available
